0	543	61	1
1	810	291	1
2	60	901	1
3	803	384	1
4	121	87	1
5	644	251	1
6	478	375	1
7	588	186	1
8	945	529	1
9	612	547	1
10	370	862	1
11	244	374	1
12	919	483	1
13	392	482	1
14	87	492	1
15	674	546	1
16	569	14	1
17	504	236	1
18	649	11	1
19	134	9	1
20	144	471	1
21	68	742	1
22	46	699	1
23	706	566	1
24	996	742	1
25	738	702	1
26	162	387	1
27	141	841	1
28	820	570	1
29	971	101	1
30	444	616	1
31	959	694	1
32	759	945	1
33	99	223	1
34	77	165	1
35	7	135	1
36	972	475	1
37	795	475	1
38	94	347	1
39	581	539	1
40	170	324	1
41	491	628	1
42	622	602	1
43	430	981	1
44	246	411	1
45	399	395	1
46	965	783	1
47	196	751	1
48	242	175	1
49	356	126	1
50	42	232	1
51	659	926	1
52	423	863	1
53	622	636	1
54	829	253	1
55	944	561	1
56	344	706	1
57	24	183	1
58	162	687	1
59	818	802	1
60	557	125	1
61	659	308	1
62	489	839	1
63	396	797	1
64	628	201	1
65	317	469	1
66	997	998	1
67	364	344	1
68	443	629	1
69	574	377	1
70	652	548	1
71	100	903	1
72	103	45	1
73	611	487	1
74	869	966	1
75	306	932	1
76	9	957	1
77	84	191	1
78	261	971	1
79	46	245	1
80	951	343	1
81	897	594	1
82	544	60	1
83	690	448	1
84	652	640	1
85	658	966	1
86	649	115	1
87	640	559	1
88	804	747	1
89	473	148	1
90	136	847	1
91	22	764	1
92	413	579	1
93	905	67	1
94	530	717	1
95	365	651	1
96	580	548	1
97	786	416	1
98	648	630	1
99	538	905	1
100	741	302	1
101	445	246	1
102	29	452	1
103	781	166	1
104	396	53	1
105	151	52	1
106	604	696	1
107	874	219	1
108	517	700	1
109	56	69	1
110	314	962	1
111	187	706	1
112	322	330	1
113	731	46	1
114	584	102	1
115	431	80	1
116	114	482	1
117	295	36	1
118	751	176	1
119	547	901	1
120	462	638	1
121	807	557	1
122	11	271	1
123	443	729	1
124	361	292	1
125	58	798	1
126	94	9	1
127	963	724	1
128	372	999	1
129	163	363	1
130	80	593	1
131	698	393	1
132	881	950	1
133	247	345	1
134	216	125	1
135	682	976	1
136	157	651	1
137	338	807	1
138	740	984	1
139	522	327	1
140	757	131	1
141	373	60	1
142	250	327	1
143	668	998	1
144	379	114	1
145	136	97	1
146	350	216	1
147	259	305	1
148	987	460	1
149	56	445	1
150	439	653	1
151	58	527	1
152	541	459	1
153	746	348	1
154	149	894	1
155	101	73	1
156	563	756	1
157	889	694	1
158	290	7	1
159	983	979	1
160	892	272	1
161	585	217	1
162	353	18	1
163	398	574	1
164	835	864	1
165	625	522	1
166	185	182	1
167	954	69	1
168	21	136	1
169	501	312	1
170	699	590	1
171	858	965	1
172	145	185	1
173	964	615	1
174	936	421	1
175	737	424	1
176	281	612	1
177	361	95	1
178	550	495	1
179	477	119	1
180	153	426	1
