89 34
83 59
21 78
36 95
21 32
33 8
19 13
16 74
51 61
39 0
72 62
37 95
96 86
94 92
57 0
15 25
21 45
56 2
1 8
42 61
48 16
40 52
15 60
88 27
74 33
58 90
29 88
64 5
56 82
36 48
96 63
0 95
11 71
14 23
26 91
72 12
75 52
39 85
91 19
58 3
85 99
41 90
39 99
46 78
69 53
35 72
15 36
92 45
30 19
34 23
83 96
58 72
27 97
65 55
25 49
44 5
23 95
93 43
32 14
82 18
31 46
85 75
63 65
24 83
55 92
51 36
4 17
19 11
50 35
66 61
81 77
19 95
73 43
1 99
96 78
75 30
80 77
55 57
51 99
54 19
96 36
16 84
5 93
23 4
67 89
93 16
96 12
73 85
2 34
57 41
23 10
80 3
27 97
69 3
31 93
66 86
61 6
65 29
1 18
98 40
